benchmark,size,backend,sub_backend,device,run_mode,n_nodes,n_processes,runtime_ms,job_id,status,created_at,started_at,ended_at
,133,ibmq,ibm_torino,CPU,sync,1,1,6653.42,d692pghv6o8c73d7brjg,Completed,2026-02-15 20:29:54.507261+00:00,2026-02-15 20:29:55.573606+00:00,2026-02-15 20:30:02.227026+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3193.6,d692i81v6o8c73d7bj6g,Completed,2026-02-15 20:14:24.550465+00:00,2026-02-15 20:14:25.820131+00:00,2026-02-15 20:14:29.013731+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,456787.83800000005,d6924dje4kfs73d3msag,Completed,2026-02-15 19:44:54.636665+00:00,2026-02-15 19:44:55.739812+00:00,2026-02-15 19:52:32.527650+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3505.484,d691sulbujdc73d1m9pg,Completed,2026-02-15 19:28:58.889926+00:00,2026-02-15 19:29:00.089728+00:00,2026-02-15 19:29:03.595212+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,17950.243000000002,d6699t3e4kfs73d0dkl0,Completed,2026-02-11 14:40:52.652080+00:00,2026-02-11 14:40:53.639125+00:00,2026-02-11 14:41:11.589368+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3803.533,d64fah3traac73bico6g,Completed,2026-02-08 20:42:44.449124+00:00,2026-02-08 20:42:45.481376+00:00,2026-02-08 20:42:49.284909+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3169.413,d64e7ivs6ggc73fj0cog,Completed,2026-02-08 19:28:11.545282+00:00,2026-02-08 19:28:12.282733+00:00,2026-02-08 19:28:15.452146+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3778.488,d64dlhbc4tus73ffls00,Completed,2026-02-08 18:49:41.865075+00:00,2026-02-08 18:49:42.852816+00:00,2026-02-08 18:49:46.631304+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,20457.22,d64d94jc4tus73ffl7gg,Completed,2026-02-08 18:23:14.318771+00:00,2026-02-08 18:23:15.079574+00:00,2026-02-08 18:23:35.536794+00:00
,133,ibmq,ibm_torino,CPU,sync,1,1,3340.967,d634p0jtraac73bgr33g,Completed,2026-02-06 20:18:11.006566+00:00,2026-02-06 20:18:11.864611+00:00,2026-02-06 20:18:15.205578+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,4862.262000000001,d61psojtraac73bf9jqg,Completed,2026-02-04 19:30:42.564679+00:00,2026-02-04 19:30:43.313725+00:00,2026-02-04 19:30:48.175987+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,4959.527999999999,d61pi4btraac73bf9710,Completed,2026-02-04 19:08:01.933034+00:00,2026-02-04 19:08:03.044817+00:00,2026-02-04 19:08:08.004345+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,4567.336,d61mur3traac73bf5ru0,Completed,2026-02-04 16:10:20.664086+00:00,2026-02-04 16:10:21.384152+00:00,2026-02-04 16:10:25.951488+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,13912.284,d61mu33c4tus73fcf52g,Completed,2026-02-04 16:08:44.980403+00:00,2026-02-04 16:08:45.521784+00:00,2026-02-04 16:08:59.434068+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,7433.55,d61lfcns6ggc73ffoo20,Completed,2026-02-04 14:29:07.044028+00:00,2026-02-04 14:29:07.633528+00:00,2026-02-04 14:29:15.067078+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,2253.568504,d5v3dit7fc0s73atie50,Cancelled,2026-01-31 17:07:23.654690+00:00,,2026-01-31 17:47:07.963075+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,2187.006238,d5v3acabju6s73bbd5bg,Cancelled,2026-01-31 17:00:33.456259+00:00,,2026-01-31 17:01:04.967475+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,2187.006238,d5v36f57fc0s73ati690,Cancelled,2026-01-31 16:52:12.743594+00:00,,2026-01-31 17:01:02.200977+00:00
,8,ibmq,ibm_miami,CPU,sync,1,1,4064.091405,d5uo5c4bmr9c739ohc2g,Failed,2026-01-31 04:18:57.217850+00:00,,2026-01-31 04:18:57.666601+00:00
