provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,benchmark_hint,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qbacmet_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json,session_id
ibmq,d6gs9gf3o3rs73ca7rvg,ibm_pittsburgh,Completed,2026-02-27 16:22:25.947875+00:00,2026-02-27 16:22:27.438992+00:00,2026-02-27 16:23:01.235840+00:00,33796.848,,,transpiled,156,429,4701,3976,725,1,24,"{""sx"": 2178, ""rz"": 1747, ""cz"": 725, ""x"": 27, ""measure"": 24, ""barrier"": 1}",qiskit,429,1,2955,1747,0,"{""framework"": ""qiskit"", ""critical_path_length"": 429, ""connected_components"": 1, ""num_cliffords"": 2955, ""num_non_cliffords"": 1747, ""num_parameters"": 0}",
ibmq,d6gs95v3o3rs73ca7rk0,ibm_pittsburgh,Completed,2026-02-27 16:21:43.168578+00:00,2026-02-27 16:21:44.719749+00:00,2026-02-27 16:22:17.872375+00:00,33152.626,,,transpiled,156,254,2897,2465,432,1,24,"{""sx"": 1338, ""rz"": 1083, ""cz"": 432, ""measure"": 24, ""x"": 20, ""barrier"": 1}",qiskit,254,1,1815,1083,0,"{""framework"": ""qiskit"", ""critical_path_length"": 254, ""connected_components"": 1, ""num_cliffords"": 1815, ""num_non_cliffords"": 1083, ""num_parameters"": 0}",
ibmq,d6grp2e48nic73am8230,ibm_pittsburgh,Completed,2026-02-27 15:47:21.730304+00:00,2026-02-27 15:47:22.846443+00:00,2026-02-27 15:48:22.787617+00:00,59941.174,,,transpiled,156,390,4470,3793,677,1,24,"{""sx"": 2060, ""rz"": 1682, ""cz"": 677, ""x"": 27, ""measure"": 24, ""barrier"": 1}",qiskit,390,1,2789,1682,0,"{""framework"": ""qiskit"", ""critical_path_length"": 390, ""connected_components"": 1, ""num_cliffords"": 2789, ""num_non_cliffords"": 1682, ""num_parameters"": 0}",
ibmq,d6gr05hkeb2s73bdqbl0,ibm_pittsburgh,Completed,2026-02-27 14:54:14.632562+00:00,2026-02-27 14:54:15.433222+00:00,2026-02-27 14:54:50.813197+00:00,35379.975,,,transpiled,156,2,18,18,0,1,10,"{""measure"": 10, ""x"": 8, ""barrier"": 1}",qiskit,2,1,19,0,0,"{""framework"": ""qiskit"", ""critical_path_length"": 2, ""connected_components"": 1, ""num_cliffords"": 19, ""num_non_cliffords"": 0, ""num_parameters"": 0}",
ibmq,d6g7buekeflc73ah3fdg,ibm_fez,Completed,2026-02-26 16:34:02.003603+00:00,2026-02-26 16:52:41.631415+00:00,2026-02-26 16:55:02.710349+00:00,141078.934,,,transpiled,156,473,4735,4012,723,1,24,"{""sx"": 2195, ""rz"": 1765, ""cz"": 723, ""x"": 28, ""measure"": 24, ""barrier"": 1}",qiskit,473,1,2971,1765,0,"{""framework"": ""qiskit"", ""critical_path_length"": 473, ""connected_components"": 1, ""num_cliffords"": 2971, ""num_non_cliffords"": 1765, ""num_parameters"": 0}",
ibmq,d6g6716keflc73ah22kg,ibm_fez,Completed,2026-02-26 15:15:16.612005+00:00,2026-02-26 15:21:03.872661+00:00,2026-02-26 15:22:01.892170+00:00,58019.509,,,transpiled,156,394,4682,3975,707,1,24,"{""sx"": 2165, ""rz"": 1764, ""cz"": 707, ""measure"": 24, ""x"": 22, ""barrier"": 1}",qiskit,394,1,2919,1764,0,"{""framework"": ""qiskit"", ""critical_path_length"": 394, ""connected_components"": 1, ""num_cliffords"": 2919, ""num_non_cliffords"": 1764, ""num_parameters"": 0}",
ibmq,d6fhd8p54hss73bc5vt0,ibm_pittsburgh,Completed,2026-02-25 15:34:59.504842+00:00,2026-02-25 20:27:56.785120+00:00,2026-02-25 20:33:49.145951+00:00,352360.831,,,transpiled,156,57,151,125,26,1,4,"{""sx"": 66, ""rz"": 53, ""cz"": 26, ""measure"": 4, ""x"": 2, ""barrier"": 1}",qiskit,57,1,99,53,0,"{""framework"": ""qiskit"", ""critical_path_length"": 57, ""connected_components"": 1, ""num_cliffords"": 99, ""num_non_cliffords"": 53, ""num_parameters"": 0}",
ibmq,d6fhd3vg4t5c73892k6g,ibm_fez,Completed,2026-02-25 15:34:39.100565+00:00,2026-02-25 15:34:44.210300+00:00,2026-02-25 15:35:22.593781+00:00,38383.481,,,transpiled,156,56,149,123,26,1,4,"{""sx"": 65, ""rz"": 52, ""cz"": 26, ""measure"": 4, ""x"": 2, ""barrier"": 1}",qiskit,56,1,98,52,0,"{""framework"": ""qiskit"", ""critical_path_length"": 56, ""connected_components"": 1, ""num_cliffords"": 98, ""num_non_cliffords"": 52, ""num_parameters"": 0}",
ibmq,d6fgq2h7ce2c73fk33s0,ibm_fez,Completed,2026-02-25 14:54:02.336578+00:00,2026-02-25 15:29:07.184940+00:00,2026-02-25 15:29:42.956388+00:00,35771.448,,,transpiled,156,582,16003,14127,1876,1,52,"{""sx"": 7060, ""rz"": 6980, ""cz"": 1876, ""measure"": 52, ""x"": 35, ""barrier"": 1}",qiskit,582,1,9024,6980,0,"{""framework"": ""qiskit"", ""critical_path_length"": 582, ""connected_components"": 1, ""num_cliffords"": 9024, ""num_non_cliffords"": 6980, ""num_parameters"": 0}",
ibmq,d6fglevg4t5c73891mj0,ibm_pittsburgh,Completed,2026-02-25 14:44:11.859798+00:00,2026-02-25 14:44:13.020911+00:00,2026-02-25 14:44:47.973828+00:00,34952.917,,,transpiled,156,582,16003,14127,1876,1,52,"{""sx"": 7060, ""rz"": 6980, ""cz"": 1876, ""measure"": 52, ""x"": 35, ""barrier"": 1}",qiskit,582,1,9024,6980,0,"{""framework"": ""qiskit"", ""critical_path_length"": 582, ""connected_components"": 1, ""num_cliffords"": 9024, ""num_non_cliffords"": 6980, ""num_parameters"": 0}",
