provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,session_id,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qiskit_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json
ibmq,cps5py3d7p30008pkeh0,ibmq_mumbai,Completed,2024-01-25 13:00:40.254465+00:00,2024-01-25 13:27:47.051000+00:00,2024-01-25 13:33:21.573000+00:00,334522.0,1000.0,cps5py3d7p30008pkeh0,runtime_inputs,27.0,4244.0,5364.0,3659.0,1705.0,1.0,7.0,"{""rz"": 2684, ""cx"": 1705, ""sx"": 968, ""measure"": 7, ""barrier"": 1}",qiskit,4244.0,1.0,2681.0,2684.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 4244, ""connected_components"": 1, ""num_cliffords"": 2681, ""num_non_cliffords"": 2684, ""num_parameters"": 0}"
ibmq,cps5nked7p30008pkef0,ibmq_mumbai,Completed,2024-01-25 12:57:50.010102+00:00,2024-01-25 13:21:59.593000+00:00,2024-01-25 13:22:33.235000+00:00,33642.0,1000.0,cps5nked7p30008pkef0,runtime_inputs,27.0,4244.0,5364.0,3659.0,1705.0,1.0,7.0,"{""rz"": 2684, ""cx"": 1705, ""sx"": 968, ""measure"": 7, ""barrier"": 1}",qiskit,4244.0,1.0,2681.0,2684.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 4244, ""connected_components"": 1, ""num_cliffords"": 2681, ""num_non_cliffords"": 2684, ""num_parameters"": 0}"
ibmq,cps5k2w9nad00083p8h0,ibmq_mumbai,Completed,2024-01-25 12:52:27.864960+00:00,2024-01-25 13:14:33.756000+00:00,2024-01-25 13:20:08.265000+00:00,334509.0,1000.0,cps5k2w9nad00083p8h0,runtime_inputs,27.0,4244.0,5364.0,3659.0,1705.0,1.0,7.0,"{""rz"": 2684, ""cx"": 1705, ""sx"": 968, ""measure"": 7, ""barrier"": 1}",qiskit,4244.0,1.0,2681.0,2684.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 4244, ""connected_components"": 1, ""num_cliffords"": 2681, ""num_non_cliffords"": 2684, ""num_parameters"": 0}"
ibmq,cps4yyb0f6rg008x4q10,ibm_cairo,Completed,2024-01-25 12:09:29.326109+00:00,2024-01-25 12:37:45.755000+00:00,2024-01-25 12:38:17.293000+00:00,31538.0,1000.0,cps4yyb0f6rg008x4q10,runtime_inputs,27.0,4244.0,5364.0,3659.0,1705.0,1.0,7.0,"{""rz"": 2684, ""cx"": 1705, ""sx"": 968, ""measure"": 7, ""barrier"": 1}",qiskit,4244.0,1.0,2681.0,2684.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 4244, ""connected_components"": 1, ""num_cliffords"": 2681, ""num_non_cliffords"": 2684, ""num_parameters"": 0}"
ibmq,cps4rjt0f6rg008x4pvg,ibmq_mumbai,Completed,2024-01-25 11:55:55.895908+00:00,2024-01-25 11:55:57.090000+00:00,2024-01-25 11:56:23.848000+00:00,26758.0,1000.0,cps4rjt0f6rg008x4pvg,runtime_inputs,27.0,575.0,737.0,467.0,270.0,1.0,5.0,"{""rz"": 338, ""cx"": 270, ""sx"": 124, ""measure"": 5, ""barrier"": 1}",qiskit,575.0,1.0,400.0,338.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 575, ""connected_components"": 1, ""num_cliffords"": 400, ""num_non_cliffords"": 338, ""num_parameters"": 0}"
ibmq,cps4jvkdmm10008my4k0,ibmq_mumbai,Completed,2024-01-25 11:43:42.368110+00:00,2024-01-25 11:43:43.623000+00:00,2024-01-25 11:44:41.105000+00:00,57482.0,1000.0,cps4jvkdmm10008my4k0,runtime_inputs,27.0,405.0,466.0,313.0,153.0,1.0,5.0,"{""rz"": 192, ""cx"": 153, ""sx"": 116, ""measure"": 5, ""barrier"": 1}",qiskit,405.0,1.0,275.0,192.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 405, ""connected_components"": 1, ""num_cliffords"": 275, ""num_non_cliffords"": 192, ""num_parameters"": 0}"
ibmq,cps4gzv1tcz0008mf4v0,ibmq_mumbai,Completed,2024-01-25 11:39:43.842739+00:00,2024-01-25 11:41:30.563000+00:00,2024-01-25 11:42:06.074000+00:00,35511.0,8000.0,cps4gzv1tcz0008mf4v0,runtime_inputs,27.0,3390.0,4002.0,2599.0,1403.0,1.0,7.0,"{""rz"": 1730, ""cx"": 1403, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3390.0,1.0,2273.0,1730.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3390, ""connected_components"": 1, ""num_cliffords"": 2273, ""num_non_cliffords"": 1730, ""num_parameters"": 0}"
ibmq,cps4g1r1tcz0008mf4t0,ibmq_mumbai,Completed,2024-01-25 11:37:43.330547+00:00,2024-01-25 11:37:59.487000+00:00,2024-01-25 11:38:16.455000+00:00,16968.0,8000.0,cps4g1r1tcz0008mf4t0,runtime_inputs,27.0,3367.0,4015.0,2598.0,1417.0,1.0,7.0,"{""rz"": 1729, ""cx"": 1417, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3367.0,1.0,2287.0,1729.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3367, ""connected_components"": 1, ""num_cliffords"": 2287, ""num_non_cliffords"": 1729, ""num_parameters"": 0}"
ibmq,cps4brfdmm10008my4cg,ibmq_mumbai,Completed,2024-01-25 11:28:33.316360+00:00,2024-01-25 11:30:15.248000+00:00,2024-01-25 11:30:49.387000+00:00,34139.0,8000.0,cps4brfdmm10008my4cg,runtime_inputs,27.0,3390.0,4002.0,2599.0,1403.0,1.0,7.0,"{""rz"": 1730, ""cx"": 1403, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3390.0,1.0,2273.0,1730.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3390, ""connected_components"": 1, ""num_cliffords"": 2273, ""num_non_cliffords"": 1730, ""num_parameters"": 0}"
ibmq,cps4b3csp83g0086yrfg,ibmq_mumbai,Completed,2024-01-25 11:27:09.984337+00:00,2024-01-25 11:27:26.312000+00:00,2024-01-25 11:28:14.732000+00:00,48420.0,8000.0,cps4b3csp83g0086yrfg,runtime_inputs,27.0,3390.0,4002.0,2599.0,1403.0,1.0,7.0,"{""rz"": 1730, ""cx"": 1403, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3390.0,1.0,2273.0,1730.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3390, ""connected_components"": 1, ""num_cliffords"": 2273, ""num_non_cliffords"": 1730, ""num_parameters"": 0}"
