benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2
ghz,15,1,8,ibmq,ibm_torino,39.47091102600098,15.0,16.0,15.0,15.0,30.0,30.0,0.0,1.0,15.0,16.0,14.0,0.0,0.0,1.0,1.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,30.0,89.0,18.0,,0.0,14.0,2.0,3.0,2.933333333333333,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,,,0.0,0.0,0.0,0.0,14.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,1,1,nwqsim,MPI,4894.378857179122,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,1,2,nwqsim,MPI,5183.712291717529,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,1,4,ionq,simulator,2123.179833094279,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,1,8,ibmq,ibm_torino,123.02327156066896,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,2,1,nwqsim,MPI,5177.44779586792,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,16,2,2,nwqsim,MPI,2611.5057468414307,16.0,17.0,16.0,16.0,32.0,32.0,0.0,1.0,16.0,17.0,15.0,0.0,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0,0.0,0.0,32.0,95.0,19.0,,0.0,15.0,2.0,3.0,2.9375,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,20,1,1,nwqsim,MPI,4045.5377101898193,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,20,1,4,ionq,simulator,2335.142453511556,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,20,1,8,ibmq,ibm_torino,50.8122444152832,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,20,1,16,nwqsim,MPI,2062.610626220703,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,20,2,8,nwqsim,MPI,702.1729946136475,20.0,21.0,20.0,20.0,40.0,40.0,0.0,1.0,20.0,21.0,19.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,40.0,119.0,23.0,,0.0,19.0,2.0,3.0,2.95,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,23,1,8,ibmq,ibm_torino,48.28000068664551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,24,1,8,nwqsim,MPI,2279.316504796346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,24,2,8,nwqsim,MPI,1745.8561261494954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,24,8,4,nwqsim,MPI,5184.860563278198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,24,16,8,nwqsim,MPI,5187.581205368042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,1,1,nwqsim,MPI,139849.4740486145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,1,16,nwqsim,MPI,14243.505430221558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,2,2,nwqsim,MPI,40523.04539680481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,2,4,nwqsim,MPI,25374.3944644928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,2,8,nwqsim,MPI,15324.178981781006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,4,2,nwqsim,MPI,25366.319799423218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,4,4,nwqsim,MPI,15282.257747650146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,4,8,nwqsim,MPI,10237.29166984558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,8,2,nwqsim,MPI,15282.114887237549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,8,4,nwqsim,MPI,10229.359221458437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,8,8,nwqsim,MPI,5692.432904243469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,16,2,nwqsim,MPI,10225.878477096558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,16,4,nwqsim,MPI,5694.360280036926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,26,16,8,nwqsim,MPI,5191.100287437439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
